date,station id,crowd number
2025-01,南港,360796
2025-01,台北,1421993
2025-01,板橋,505077
2025-01,桃園,803272
2025-01,新竹,596134
2025-01,苗栗,103002
2025-01,台中,1076326
2025-01,彰化,79792
2025-01,雲林,143796
2025-01,嘉義,266143
2025-01,台南,436658
2025-01,左營,889773
2024-12,南港,362362
2024-12,台北,1525729
2024-12,板橋,508504
2024-12,桃園,857290
2024-12,新竹,673797
2024-12,苗栗,108634
2024-12,台中,1221279
2024-12,彰化,77804
2024-12,雲林,147955
2024-12,嘉義,281005
2024-12,台南,466668
2024-12,左營,919398
2024-11,南港,339301
2024-11,台北,1443191
2024-11,板橋,462335
2024-11,桃園,803086
2024-11,新竹,639170
2024-11,苗栗,104703
2024-11,台中,1143343
2024-11,彰化,73011
2024-11,雲林,138390
2024-11,嘉義,260588
2024-11,台南,438165
2024-11,左營,875361
2024-10,南港,305947
2024-10,台北,1295528
2024-10,板橋,417031
2024-10,桃園,746254
2024-10,新竹,582207
2024-10,苗栗,93649
2024-10,台中,1060525
2024-10,彰化,72129
2024-10,雲林,148355
2024-10,嘉義,247745
2024-10,台南,398206
2024-10,左營,785666
2024-09,南港,343354
2024-09,台北,1333457
2024-09,板橋,440178
2024-09,桃園,764965
2024-09,新竹,616715
2024-09,苗栗,98890
2024-09,台中,1101391
2024-09,彰化,74290
2024-09,雲林,141549
2024-09,嘉義,262182
2024-09,台南,423051
2024-09,左營,893150
2024-08,南港,335890
2024-08,台北,1437840
2024-08,板橋,461855
2024-08,桃園,804753
2024-08,新竹,647657
2024-08,苗栗,99360
2024-08,台中,1124328
2024-08,彰化,73193
2024-08,雲林,139666
2024-08,嘉義,268629
2024-08,台南,470138
2024-08,左營,889146
2024-07,南港,303081
2024-07,台北,1319199
2024-07,板橋,431107
2024-07,桃園,766560
2024-07,新竹,592608
2024-07,苗栗,91691
2024-07,台中,1041822
2024-07,彰化,68501
2024-07,雲林,130661
2024-07,嘉義,251846
2024-07,台南,421155
2024-07,左營,837574
2024-06,南港,335616
2024-06,台北,1347294
2024-06,板橋,442929
2024-06,桃園,761896
2024-06,新竹,603595
2024-06,苗栗,96886
2024-06,台中,1092782
2024-06,彰化,72646
2024-06,雲林,138952
2024-06,嘉義,263845
2024-06,台南,442858
2024-06,左營,851304
2024-05,南港,313326
2024-05,台北,1351945
2024-05,板橋,441461
2024-05,桃園,753703
2024-05,新竹,612141
2024-05,苗栗,96859
2024-05,台中,1100770
