date,station id,crowd number,schedule number,disease number
202501,南港,360796,1103,0
202501,台北,1421993,1103,0
202501,板橋,505077,1103,0
202501,桃園,803272,1103,0
202501,新竹,596134,1103,0
202501,苗栗,103002,1103,0
202501,台中,1076326,1103,0
202501,彰化,79792,1103,0
202501,雲林,143796,1103,0
202501,嘉義,266143,1103,0
202501,台南,436658,1103,0
202501,左營,889773,1103,0
202412,南港,362362,1103,0
202412,台北,1525729,1103,0
202412,板橋,508504,1103,0
202412,桃園,857290,1103,0
202412,新竹,673797,1103,0
202412,苗栗,108634,1103,0
202412,台中,1221279,1103,0
202412,彰化,77804,1103,0
202412,雲林,147955,1103,0
202412,嘉義,281005,1103,0
202412,台南,466668,1103,0
202412,左營,919398,1103,0
202411,南港,339301,1103,0
202411,台北,1443191,1103,0
202411,板橋,462335,1103,0
202411,桃園,803086,1103,0
202411,新竹,639170,1103,0
202411,苗栗,104703,1103,0
202411,台中,1143343,1103,0
202411,彰化,73011,1103,0
202411,雲林,138390,1103,0
202411,嘉義,260588,1103,0
202411,台南,438165,1103,0
202411,左營,875361,1103,0
202410,南港,305947,1103,1
202410,台北,1295528,1103,1
202410,板橋,417031,1103,1
202410,桃園,746254,1103,1
202410,新竹,582207,1103,1
202410,苗栗,93649,1103,1
202410,台中,1060525,1103,1
202410,彰化,72129,1103,1
202410,雲林,148355,1103,1
202410,嘉義,247745,1103,1
202410,台南,398206,1103,1
202410,左營,785666,1103,1
202409,南港,343354,1103,0
202409,台北,1333457,1103,0
202409,板橋,440178,1103,0
202409,桃園,764965,1103,0
202409,新竹,616715,1103,0
202409,苗栗,98890,1103,0
202409,台中,1101391,1103,0
202409,彰化,74290,1103,0
202409,雲林,141549,1103,0
202409,嘉義,262182,1103,0
202409,台南,423051,1103,0
202409,左營,893150,1103,0
202408,南港,335890,1103,0
202408,台北,1437840,1103,0
202408,板橋,461855,1103,0
202408,桃園,804753,1103,0
202408,新竹,647657,1103,0
202408,苗栗,99360,1103,0
202408,台中,1124328,1103,0
202408,彰化,73193,1103,0
202408,雲林,139666,1103,0
202408,嘉義,268629,1103,0
202408,台南,470138,1103,0
202408,左營,889146,1103,0
202407,南港,303081,1103,0
202407,台北,1319199,1103,0
202407,板橋,431107,1103,0
202407,桃園,766560,1103,0
202407,新竹,592608,1103,0
202407,苗栗,91691,1103,0
202407,台中,1041822,1103,0
202407,彰化,68501,1103,0
202407,雲林,130661,1103,0
202407,嘉義,251846,1103,0
202407,台南,421155,1103,0
202407,左營,837574,1103,0
202406,南港,335616,1103,0
202406,台北,1347294,1060,0
202406,板橋,442929,1060,0
202406,桃園,761896,1060,0
202406,新竹,603595,1060,0
202406,苗栗,96886,1060,0
202406,台中,1092782,1060,0
202406,彰化,72646,1060,0
202406,雲林,138952,1060,0
202406,嘉義,263845,1060,0
202406,台南,442858,1060,0
202406,左營,851304,1060,0
202405,南港,313326,1060,1
202405,台北,1351945,1060,1
202405,板橋,441461,1060,1
202405,桃園,753703,1060,1
202405,新竹,612141,1060,1
202405,苗栗,96859,1060,1
202405,台中,1100770,1060,1
202405,彰化,69781,1060,1
202405,雲林,136459,1060,1
202405,嘉義,255554,1060,1
202405,台南,431027,1060,1
202405,左營,825772,1060,1
202404,南港,325273,1060,1
202404,台北,1323483,1060,1
202404,板橋,449411,1060,1
202404,桃園,743834,1060,1
202404,新竹,582089,1060,1
202404,苗栗,96105,1060,1
202404,台中,1083724,1060,1
202404,彰化,76964,1060,1
202404,雲林,147727,1060,1
202404,嘉義,276006,1060,1
202404,台南,420170,1060,1
202404,左營,881152,1060,1
202403,南港,331037,1060,1
202403,台北,1417898,1060,1
202403,板橋,475582,1060,1
202403,桃園,769481,1060,1
202403,新竹,614496,1060,1
202403,苗栗,102378,1060,1
202403,台中,1159022,1060,1
202403,彰化,78039,1060,1
202403,雲林,147897,1060,1
202403,嘉義,284107,1060,1
202403,台南,502292,1060,1
202403,左營,914484,1060,1
202402,南港,311775,1060,0
202402,台北,1270622,1060,0
202402,板橋,464839,1060,0
202402,桃園,732491,1060,0
202402,新竹,536795,1060,0
202402,苗栗,99798,1060,0
202402,台中,1024273,1060,0
202402,彰化,85743,1060,0
202402,雲林,154159,1060,0
202402,嘉義,295571,1060,0
202402,台南,465407,1060,0
202402,左營,939446,1060,0
202401,南港,301538,1060,2
202401,台北,1328378,1060,2
202401,板橋,445216,1060,2
202401,桃園,730498,1060,2
202401,新竹,589093,1060,2
202401,苗栗,92390,1060,2
202401,台中,1084707,1060,2
202401,彰化,70954,1060,2
202401,雲林,130623,1060,2
202401,嘉義,246230,1060,2
202401,台南,428539,1060,2
202401,左營,853603,1060,2
202312,南港,332100,1060,14
202312,台北,1442644,1039,14
202312,板橋,515867,1039,14
202312,桃園,785005,1039,14
